# Chunk-averaged data for fix myac3 and group gCl
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 10
  215 2.9 0.0586 0.016513
  216 3.1 0.064 0.0180347
  217 3.3 0.0783 0.0220643
  218 3.5 0.0611 0.0172175
  219 3.7 0.0716 0.0201763
  220 3.9 0.059 0.0166258
  221 4.1 0.0444 0.0125116
  222 4.3 0.0494 0.0139205
  223 4.5 0.0462 0.0130188
  224 4.7 0.0344 0.00969366
  225 4.9 0.0364 0.0102572
  226 5.1 0.0276 0.00777747
  227 5.3 0.0445 0.0125398
  228 5.5 0.0344 0.00969366
  229 5.7 0.0375 0.0105672
  230 5.9 0.0345 0.00972184
  231 6.1 0.0525 0.0147941
  232 6.3 0.0541 0.015245
  233 6.5 0.0878 0.0247414
  234 6.7 0.0907 0.0255586
  235 6.9 0.0835 0.0235297
  236 7.1 0.0707 0.0199227
  237 7.3 0.0542 0.0152732
  238 7.5 0.0394 0.0111026
  239 7.7 0.0671 0.0189083
  240 7.9 0.0792 0.022318
  241 8.1 0.0725 0.02043
  242 8.3 0.0839 0.0236424
  243 8.5 0.0772 0.0217544
  244 8.7 0.0632 0.0178093
  245 8.9 0.0902 0.0254177
  246 9.1 0.1184 0.0333642
  247 9.3 0.1151 0.0324343
  248 9.5 0.1138 0.032068
  249 9.7 0.0976 0.0275029
  250 9.9 0.0965 0.027193
  251 10.1 0.1188 0.0334769
  252 10.3 0.1204 0.0339278
  253 10.5 0.1315 0.0370557
  254 10.7 0.1268 0.0357313
  255 10.9 0.1088 0.030659
  256 11.1 0.0895 0.0252204
  257 11.3 0.0769 0.0216698
  258 11.5 0.0708 0.0199509
  259 11.7 0.0805 0.0226843
  260 11.9 0.1305 0.0367739
  261 12.1 0.2075 0.0584719
  262 12.3 0.3606 0.101614
  263 12.5 0.6446 0.181643
  264 12.7 0.6221 0.175303
  265 12.9 0.4978 0.140276
  266 13.1 0.2741 0.0772393
  267 13.3 0.0926 0.026094
  268 13.5 0.0106 0.002987
  269 13.7 0 0
  270 13.9 0 0
  271 14.1 0 0
  272 14.3 0 0
  273 14.5 0 0
  274 14.7 0 0
  275 14.9 0 0
  276 15.1 0 0
  277 15.3 0 0
  278 15.5 0 0
  279 15.7 0 0
  280 15.9 0 0
  281 16.1 0 0
  282 16.3 0 0
  283 16.5 0 0
  284 16.7 0 0
  285 16.9 0 0
  286 17.1 0 0
  287 17.3 0 0
  288 17.5 0 0
  289 17.7 0 0
  290 17.9 0 0
  291 18.1 0 0
  292 18.3 0 0
  293 18.5 0 0
  294 18.7 0 0
  295 18.9 0 0
  296 19.1 0 0
  297 19.3 0 0
  298 19.5 0 0
  299 19.7 0 0
  300 19.9 0 0
  301 20.1 0 0
  302 20.3 0 0
  303 20.5 0 0
  304 20.7 0 0
  305 20.9 0 0
  306 21.1 0 0
  307 21.3 0 0
  308 21.5 0 0
  309 21.7 0 0
  310 21.9 0 0
  311 22.1 0 0
  312 22.3 0 0
  313 22.5 0 0
  314 22.7 0 0
  315 22.9 0 0
  316 23.1 0 0
  317 23.3 0 0
  318 23.5 0 0
  319 23.7 0 0
  320 23.9 0 0
  321 24.1 0 0
  322 24.3 0 0
  323 24.5 0 0
  324 24.7 0 0
  325 24.9 0 0
  326 25.1 0 0
  327 25.3 0 0
  328 25.5 0 0
  329 25.7 0 0
  330 25.9 0 0
  331 26.1 0 0
  332 26.3 0 0
  333 26.5 0 0
  334 26.7 0 0
  335 26.9 0 0
  336 27.1 0 0
  337 27.3 0 0
  338 27.5 0 0
  339 27.7 0 0
  340 27.9 0 0
  341 28.1 0 0
  342 28.3 0 0
  343 28.5 0 0
  344 28.7 0 0
  345 28.9 0 0
  346 29.1 0 0
  347 29.3 0 0
  348 29.5 0 0
  349 29.7 0 0
  350 29.9 0 0
  351 30.1 0 0
  352 30.3 0 0
  353 30.5 0 0
  354 30.7 0 0
  355 30.9 0 0
  356 31.1 0 0
  357 31.3 0 0
  358 31.5 0 0
  359 31.7 0 0
  360 31.9 0 0
  361 32.1 0 0
  362 32.3 0 0
  363 32.5 0 0
  364 32.7 0 0
  365 32.9 0 0
  366 33.1 0 0
  367 33.3 0 0
  368 33.5 0 0
  369 33.7 0 0
  370 33.9 0 0
  371 34.1 0 0
  372 34.3 0 0
  373 34.5 0 0
  374 34.7 0 0
  375 34.9 0 0
  376 35.1 0 0
  377 35.3 0 0
  378 35.5 0 0
  379 35.7 0 0
  380 35.9 0 0
  381 36.1 0 0
  382 36.3 0 0
  383 36.5 0 0
  384 36.7 0 0
  385 36.9 0 0
  386 37.1 0 0
  387 37.3 0 0
  388 37.5 0 0
  389 37.7 0 0
  390 37.9 0 0
  391 38.1 0 0
  392 38.3 0 0
  393 38.5 0 0
  394 38.7 0 0
  395 38.9 0 0
  396 39.1 0 0
  397 39.3 0 0
  398 39.5 0 0
  399 39.7 0 0
  400 39.9 0 0
