# Time-averaged data for fix myat1
# TimeStep v_delta_r
40000 11.8673
40100 12.1801
40200 12.4571
40300 12.658
40400 12.6906
40500 12.7322
40600 12.3127
40700 11.6744
40800 10.8618
40900 10.0709
41000 9.54674
41100 9.54713
41200 9.87747
41300 10.144
41400 9.87289
41500 9.73647
41600 9.95344
41700 10.3462
41800 11.058
41900 11.6012
42000 12.2234
42100 13.0632
42200 13.8637
42300 14.6737
42400 15.2664
42500 15.4386
42600 15.7354
42700 16.0479
42800 16.0141
42900 15.5017
43000 15.0283
43100 14.7311
43200 14.2766
43300 13.9429
43400 13.8154
43500 13.5475
43600 13.247
43700 12.7706
43800 12.3791
43900 11.7659
44000 10.7859
44100 9.86949
44200 9.24622
44300 9.0773
44400 9.4757
44500 10.3769
44600 11.2237
44700 11.5535
44800 11.2553
44900 10.4767
45000 9.18751
45100 8.06342
45200 6.61301
45300 5.43397
45400 4.8376
45500 4.73873
45600 4.94174
45700 5.03464
45800 5.14325
45900 5.21229
46000 5.50424
46100 5.83734
46200 5.94648
46300 5.8394
46400 5.75401
46500 5.69403
46600 5.77443
46700 5.669
46800 5.78796
46900 5.68585
47000 5.63029
47100 5.68173
47200 5.9509
47300 6.36226
47400 6.66261
47500 7.05403
47600 7.41401
47700 7.18458
47800 6.75667
47900 6.58132
48000 6.89141
48100 7.47289
48200 7.76278
48300 7.35611
48400 7.4319
48500 7.68868
48600 7.80443
48700 7.63413
48800 7.38459
48900 7.46668
49000 7.20595
49100 7.06081
49200 6.761
49300 6.11038
49400 5.83269
49500 5.34229
49600 5.19656
49700 4.72771
49800 4.38659
49900 4.33164
50000 4.12086
50100 4.09765
50200 4.47432
50300 4.56344
50400 4.43189
50500 4.42276
50600 4.42945
50700 4.58669
50800 4.91355
50900 5.15678
51000 5.239
51100 5.36152
51200 5.36866
51300 5.01555
51400 4.31415
51500 4.09321
51600 4.41533
51700 4.81622
51800 5.28254
51900 5.40658
52000 5.66473
52100 5.92
52200 5.93413
52300 5.89634
52400 5.97873
52500 5.95621
52600 5.93398
52700 6.11514
52800 6.43179
52900 6.58638
53000 6.69388
53100 6.36148
53200 6.19276
