# Chunk-averaged data for fix myac1 and group gH2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 3648
  213 2.5 20.3119 0.974147
  214 2.7 20.2598 0.967224
  215 2.9 20.2039 0.951619
  216 3.1 20.4932 0.971846
  217 3.3 20.5102 0.973567
  218 3.5 20.3409 0.982768
  219 3.7 20.2158 0.979776
  220 3.9 20.2073 0.971093
  221 4.1 20.2187 0.966144
  222 4.3 20.0327 0.955836
  223 4.5 19.8185 0.934876
  224 4.7 19.8165 0.935348
  225 4.9 19.7507 0.936549
  226 5.1 19.9288 0.953061
  227 5.3 19.9484 0.953635
  228 5.5 19.9185 0.939419
  229 5.7 20.1774 0.94844
  230 5.9 20.2115 0.957757
  231 6.1 20.2539 0.96552
  232 6.3 20.2563 0.96312
  233 6.5 20.4041 0.97118
  234 6.7 20.6064 0.987588
  235 6.9 20.5541 0.979877
  236 7.1 20.5994 0.998447
  237 7.3 20.2885 0.994919
  238 7.5 20.0609 0.965022
  239 7.7 19.8226 0.93075
  240 7.9 19.5395 0.918497
  241 8.1 19.1137 0.898141
  242 8.3 19.1622 0.89766
  243 8.5 19.1886 0.900314
  244 8.7 19.3624 0.910548
  245 8.9 20.0103 0.945421
  246 9.1 20.5557 0.960348
  247 9.3 21.2298 1.00913
  248 9.5 22.0251 1.06549
  249 9.7 22.6325 1.09654
  250 9.9 22.9589 1.11753
  251 10.1 22.5581 1.12224
  252 10.3 21.3629 1.06993
  253 10.5 19.858 1.01062
  254 10.7 17.9705 0.910728
  255 10.9 16.448 0.801429
  256 11.1 15.4771 0.724504
  257 11.3 14.9219 0.678339
  258 11.5 14.9577 0.645416
  259 11.7 15.5726 0.647019
  260 11.9 17.2345 0.677504
  261 12.1 20.5384 0.765233
  262 12.3 25.3705 0.95144
  263 12.5 31.616 1.31855
  264 12.7 37.625 1.89124
  265 12.9 39.3024 2.42892
  266 13.1 32.5137 2.28523
  267 13.3 21.0519 1.45105
  268 13.5 12.8803 0.613437
  269 13.7 10.6193 0.213627
  270 13.9 9.8807 0.0995869
  271 14.1 7.68 0.0677039
  272 14.3 6.3166 0.0597951
  273 14.5 10.0247 0.104053
  274 14.7 15.284 0.185607
  275 14.9 15.4414 0.306216
  276 15.1 17.2747 0.751668
  277 15.3 37.2061 2.22065
  278 15.5 75.2734 4.84618
  279 15.7 95.0186 5.82791
  280 15.9 67.5245 3.19985
  281 16.1 29.2893 0.679249
  282 16.3 10.7899 0.102701
  283 16.5 3.8849 0.0311374
  284 16.7 1.2028 0.00963674
  285 16.9 0.272 0.00217924
  286 17.1 0.0245 0.000196292
  287 17.3 0.0001 8.01193e-07
  288 17.5 0 0
  289 17.7 0 0
  290 17.9 0 0
  291 18.1 0 0
  292 18.3 0 0
  293 18.5 0 0
  294 18.7 0 0
  295 18.9 0 0
  296 19.1 0 0
  297 19.3 0 0
  298 19.5 0 0
  299 19.7 0 0
  300 19.9 0 0
  301 20.1 0 0
  302 20.3 0 0
  303 20.5 0 0
  304 20.7 0 0
  305 20.9 0 0
  306 21.1 0 0
  307 21.3 0 0
  308 21.5 0 0
  309 21.7 0 0
  310 21.9 0 0
  311 22.1 0 0
  312 22.3 0 0
  313 22.5 0 0
  314 22.7 0 0
  315 22.9 0 0
  316 23.1 0 0
  317 23.3 0 0
  318 23.5 0 0
  319 23.7 0 0
  320 23.9 0 0
  321 24.1 0 0
  322 24.3 0 0
  323 24.5 0 0
  324 24.7 0 0
  325 24.9 0 0
  326 25.1 0 0
  327 25.3 0 0
  328 25.5 0 0
  329 25.7 0 0
  330 25.9 0 0
  331 26.1 0 0
  332 26.3 0 0
  333 26.5 0 0
  334 26.7 0 0
  335 26.9 0 0
  336 27.1 0 0
  337 27.3 0 0
  338 27.5 0 0
  339 27.7 0 0
  340 27.9 0 0
  341 28.1 0 0
  342 28.3 0 0
  343 28.5 0 0
  344 28.7 0 0
  345 28.9 0 0
  346 29.1 0 0
  347 29.3 0 0
  348 29.5 0 0
  349 29.7 0 0
  350 29.9 0 0
  351 30.1 0 0
  352 30.3 0 0
  353 30.5 0 0
  354 30.7 0 0
  355 30.9 0 0
  356 31.1 0 0
  357 31.3 0 0
  358 31.5 0 0
  359 31.7 0 0
  360 31.9 0 0
  361 32.1 0 0
  362 32.3 0 0
  363 32.5 0 0
  364 32.7 0 0
  365 32.9 0 0
  366 33.1 0 0
  367 33.3 0 0
  368 33.5 0 0
  369 33.7 0 0
  370 33.9 0 0
  371 34.1 0 0
  372 34.3 0 0
  373 34.5 0 0
  374 34.7 0 0
  375 34.9 0 0
  376 35.1 0 0
  377 35.3 0 0
  378 35.5 0 0
  379 35.7 0 0
  380 35.9 0 0
  381 36.1 0 0
  382 36.3 0 0
  383 36.5 0 0
  384 36.7 0 0
  385 36.9 0 0
  386 37.1 0 0
  387 37.3 0 0
  388 37.5 0 0
  389 37.7 0 0
  390 37.9 0 0
  391 38.1 0 0
  392 38.3 0 0
  393 38.5 0 0
  394 38.7 0 0
  395 38.9 0 0
  396 39.1 0 0
  397 39.3 0 0
  398 39.5 0 0
  399 39.7 0 0
  400 39.9 0 0
