# Time-averaged data for fix myat1
# TimeStep v_delta_r
40000 7.50081
40100 7.18889
40200 7.49634
40300 7.5971
40400 7.8188
40500 7.59862
40600 7.48602
40700 7.71383
40800 7.66301
40900 7.58951
41000 7.79855
41100 7.80701
41200 7.94927
41300 8.45333
41400 8.5732
41500 8.12555
41600 8.17592
41700 8.05272
41800 7.618
41900 7.86263
42000 8.17333
42100 7.83336
42200 7.69418
42300 7.74275
42400 7.72094
42500 8.23009
42600 8.54975
42700 8.96155
42800 8.71105
42900 8.80593
43000 9.54242
43100 9.75983
43200 9.28376
43300 9.23426
43400 9.19407
43500 9.40327
43600 9.58223
43700 9.63839
43800 9.77124
43900 9.63779
44000 9.66621
44100 9.52963
44200 8.97896
44300 8.8121
44400 8.79713
44500 8.74824
44600 8.81981
44700 9.44943
44800 9.59501
44900 9.60467
45000 10.382
45100 11.1059
45200 11.6665
45300 11.6656
45400 11.2488
45500 11.3055
45600 11.2399
45700 11.2681
45800 11.417
45900 11.5452
46000 11.544
46100 12.0383
46200 12.0655
46300 12.0805
46400 11.948
46500 11.5331
46600 11.3634
46700 11.1002
46800 11.1741
46900 11.3626
47000 11.4762
47100 11.4317
47200 11.4901
47300 11.4284
47400 11.3203
47500 10.8473
47600 10.5703
47700 11.1789
47800 11.7148
47900 11.7758
48000 11.8301
48100 11.5247
48200 11.3751
48300 11.1144
48400 11.4767
48500 11.9445
48600 11.984
48700 11.9082
48800 12.1811
48900 12.1737
49000 12.3763
49100 12.5069
49200 12.0607
49300 11.8195
49400 11.8272
49500 12.1901
49600 12.328
49700 12.6487
49800 12.6969
49900 12.5727
50000 12.4503
50100 12.2625
50200 12.2608
50300 11.874
50400 12.0571
50500 12.4674
50600 12.211
50700 12.1427
50800 12.6659
50900 12.2019
51000 12.0208
51100 11.8671
51200 12.4252
51300 12.1698
51400 12.508
51500 12.6238
51600 12.7024
51700 13.0326
51800 12.9363
51900 12.9257
52000 13.4016
52100 13.828
52200 14.1297
52300 14.0124
52400 13.8038
52500 13.9537
52600 14.2842
52700 14.1664
52800 14.1937
52900 14.2305
53000 14.3762
53100 14.5138
53200 14.2889
53300 13.9781
53400 13.9121
53500 14.216
53600 14.0905
53700 14.1328
53800 13.738
53900 13.6479
54000 13.6439
54100 13.3931
54200 13.2491
54300 13.1081
54400 12.3354
54500 12.0065
54600 12.0159
54700 12.2806
54800 12.3887
54900 12.3637
55000 12.9295
55100 13.2116
55200 13.7003
55300 13.9007
55400 13.8948
55500 14.1548
55600 13.9308
55700 13.9766
55800 13.8259
55900 13.7318
56000 13.5338
56100 12.8861
56200 12.9266
56300 13.5066
56400 13.7154
56500 13.6391
56600 13.3532
56700 13.0957
56800 13.3486
56900 13.301
57000 12.9951
57100 12.9222
57200 13.1448
57300 12.7789
57400 12.5276
57500 12.4146
57600 12.7879
57700 13.1554
57800 13.1515
57900 12.9462
58000 13.2506
58100 13.8571
58200 14.1827
58300 14.1121
58400 14.0441
58500 14.05
58600 13.978
58700 13.8137
58800 13.7288
58900 13.4766
59000 13.2335
59100 13.2813
59200 13.2578
59300 13.1502
59400 12.895
59500 12.4724
59600 12.5243
59700 12.7247
59800 12.6673
59900 12.8912
60000 12.7974
60100 12.5221
60200 12.7896
60300 13.0143
60400 13.0626
60500 13.2273
60600 13.0017
60700 12.7325
60800 12.3867
60900 11.8724
61000 11.7651
61100 11.9602
61200 11.8499
61300 12.0652
61400 12.4774
61500 12.4988
61600 12.5943
61700 12.3993
61800 12.5819
61900 12.6903
62000 12.2898
62100 11.9523
62200 11.6198
62300 11.3026
62400 10.9967
62500 11.169
62600 11.2582
62700 11.3213
62800 11.8142
62900 12.1306
63000 11.8976
63100 11.6272
63200 11.5592
63300 11.4438
63400 11.2695
63500 11.5488
63600 11.7663
63700 11.9829
63800 11.8642
63900 12.0134
64000 11.6103
64100 11.193
64200 11.0543
64300 10.8944
64400 11.3514
64500 11.4706
64600 11.307
64700 11.1707
64800 10.728
64900 11.101
65000 11.306
65100 11.3217
65200 11.1554
65300 11.4899
65400 11.0719
65500 10.8119
65600 10.5737
65700 10.4437
65800 10.7415
65900 10.7699
66000 11.0705
66100 11.2449
66200 11.032
66300 10.7868
66400 11.1061
66500 11.1114
66600 10.6519
66700 9.84539
66800 9.83118
66900 10.229
67000 10.4815
67100 10.0932
67200 9.70322
67300 9.54701
67400 10.0707
67500 10.175
67600 10.118
67700 9.88201
67800 9.63114
67900 9.59864
68000 9.74243
68100 10.2898
68200 10.4853
68300 10.2936
68400 10.4756
68500 9.96938
68600 10.4002
68700 10.6286
68800 10.4209
68900 10.349
69000 10.198
69100 9.8863
69200 9.71355
69300 9.40466
69400 9.474
69500 9.47627
69600 9.44221
69700 10.1087
69800 10.9301
69900 10.7608
70000 10.2936
70100 9.61475
70200 9.77177
70300 10.1324
70400 10.0789
70500 10.0654
70600 9.59045
70700 8.95234
70800 8.80542
70900 9.02962
71000 9.55483
71100 9.91457
71200 9.83609
71300 9.47917
71400 9.54767
71500 10.0241
71600 9.71648
71700 9.51028
71800 9.73601
71900 10.0973
72000 10.0194
72100 9.99041
72200 10.1509
72300 10.3979
72400 10.4152
72500 10.4034
72600 10.3544
72700 10.5175
72800 10.3892
72900 10.4172
73000 10.5128
73100 10.4269
73200 10.3322
73300 10.279
73400 10.5163
73500 10.0655
73600 9.72893
73700 10.0021
73800 9.98243
73900 9.7869
74000 9.99202
74100 10.3735
74200 10.9276
74300 11.1688
74400 11.2877
74500 11.1039
74600 11.1473
74700 10.527
74800 10.5237
74900 11.0071
75000 11.6771
75100 11.8134
75200 11.138
75300 10.6564
75400 10.378
75500 10.6081
75600 11.0191
75700 10.8009
75800 10.2591
75900 10.0061
76000 10.1011
76100 10.6234
76200 10.1225
76300 9.93996
76400 9.82857
76500 10.1392
76600 9.92577
76700 9.8112
76800 10.1901
76900 11.0344
77000 11.3786
77100 10.6204
77200 10.4582
77300 10.296
77400 10.0079
77500 9.82917
77600 9.97648
77700 9.88857
77800 9.92696
77900 10.1203
78000 10.5097
78100 10.3381
78200 9.37091
78300 8.6284
78400 8.79015
78500 9.63584
78600 9.56238
78700 8.82414
78800 8.72868
78900 8.91626
79000 8.54289
79100 8.72336
79200 9.31051
79300 8.67335
79400 8.8306
79500 9.6029
79600 9.50782
79700 9.52135
79800 9.69154
79900 9.90972
80000 10.1252
80100 10.1497
80200 9.76163
80300 9.22294
80400 9.4039
80500 9.68824
80600 9.61999
80700 9.88116
80800 10.2762
80900 9.88877
81000 9.8263
81100 10.2822
81200 10.4574
81300 9.95684
81400 9.12736
81500 9.2726
81600 9.94862
81700 10.0271
81800 9.86974
81900 9.83225
82000 9.61157
82100 9.55522
82200 9.80759
82300 10.0878
82400 10.456
82500 10.0458
82600 9.14206
82700 8.96758
82800 9.21201
82900 9.58475
83000 9.80834
83100 9.58002
83200 9.54888
83300 10.0158
83400 9.85297
83500 9.71562
83600 10.1457
83700 10.2053
83800 10.0924
83900 10.3732
84000 10.9975
84100 11.3555
84200 11.2619
84300 11.0818
84400 11.3158
84500 11.5951
84600 11.3915
84700 11.5625
84800 11.8702
84900 11.9359
85000 12.3588
85100 12.7112
85200 12.6106
85300 12.4565
85400 12.4344
85500 12.8831
85600 13.1779
85700 13.0937
85800 12.8579
85900 12.4056
86000 12.2611
86100 11.9168
86200 12.0805
86300 11.876
86400 11.9288
86500 12.0301
86600 12.069
86700 12.0348
86800 12.2751
86900 12.6812
87000 12.9164
