# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
1832000 0 60
1833000 0 60
1834000 0 60
1835000 0 60
1836000 0 60
1837000 0 60
1838000 0 60
1839000 0 60
1840000 0 60
1841000 0 60
1842000 0 60
1843000 0 60
1844000 0 60
1845000 0 60
1846000 0 60
1847000 0 60
1848000 0 60
1849000 0 60
1850000 0 60
1851000 0 60
1852000 0 60
1853000 0 60
1854000 0 60
1855000 0 60
1856000 0 60
1857000 0 60
1858000 0 60
1859000 0 60
1860000 0 60
1861000 0 60
1862000 0 60
1863000 0 60
1864000 0 60
1865000 0 60
1866000 0 60
1867000 0 60
1868000 0 60
1869000 0 60
1870000 0 60
1871000 0 60
1872000 0 60
1873000 0 60
1874000 0 60
1875000 0 60
1876000 0 60
1877000 0 60
1878000 0 60
1879000 0 60
1880000 0 60
1881000 0 60
1882000 0 60
1883000 0 60
1884000 0 60
1885000 0 60
1886000 0 60
1887000 0 60
1888000 0 59.89
1889000 0 60
1890000 0 60
1891000 0 60
1892000 0 60
1893000 0 60
1894000 0 60
1895000 0 60
1896000 0 60
1897000 0 60
1898000 0 60
1899000 0 60
1900000 0 60
1901000 0 60
1902000 0 60
1903000 0 60
1904000 0 60
1905000 0 60
1906000 0 60
1907000 0 60
1908000 0 60
1909000 0 60
1910000 0 60
1911000 0 60
1912000 0 60
1913000 0 60
1914000 0 60
1915000 0 60
1916000 0 60
1917000 0 60
1918000 0 60
1919000 0 60
1920000 0 60
1921000 0 60
1922000 0 60
1923000 0 60
1924000 0 60
1925000 0 60
1926000 0 60
1927000 0 60
1928000 0 60
1929000 0 60
1930000 0 60
1931000 0 60
1932000 0 60
1933000 0 60
1934000 0 60
1935000 0 60
1936000 0 60
1937000 0 60
1938000 0 60
1939000 0 60
1940000 0 60
1941000 0 60
1942000 0 60
1943000 0 60
1944000 0 60
1945000 0.02 60
1946000 0 60
1947000 0 60
1948000 0 60
1949000 0 60
1950000 0 60
1951000 0 60
1952000 0 60
1953000 0 60
1954000 0 60
1955000 0 60
1956000 0 60
1957000 0 60
1958000 0 60
1959000 0 60
1960000 0 60
1961000 0 60
1962000 0 60
1963000 0 60
1964000 0 60
1965000 0 60
1966000 0 60
1967000 0 60
1968000 0 60
1969000 0 60
1970000 0 60
1971000 0 60
1972000 0 59.97
1973000 0 60
1974000 0 60
1975000 0 60
1976000 0 60
1977000 0 60
1978000 0 60
1979000 0 60
1980000 0 60
1981000 0 60
1982000 0 60
1983000 0 60
1984000 0 60
1985000 0 60
1986000 0 60
1987000 0 60
1988000 0 60
1989000 0 60
1990000 0 60
1991000 0 60
1992000 0 60
1993000 0 60
1994000 0 60
1995000 0 60
1996000 0 60
1997000 0 60
1998000 0 60
1999000 0 60
2000000 0 60
