# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
436000 2 57
437000 2 57
438000 2 57
439000 2 57
440000 2 57
441000 2 57
442000 2 57
443000 2 57
444000 2 57
445000 2 57
446000 2 57
447000 2 57
448000 2 57
449000 2 57
450000 2 57
451000 2 57
452000 2 57
453000 2 57
454000 2 56.97
455000 2 56.98
456000 2 57
457000 2 57
458000 2 57
459000 2 57
460000 2 57
461000 2 57
462000 2 57
463000 2 57
464000 2 57
465000 2 57
466000 2 57
467000 2 57
468000 2 57
469000 2 57
470000 2 57
471000 2 57
472000 2 57
473000 2 57
474000 2 57
475000 2 57
476000 2 57
477000 2 57
478000 2 57
479000 1.44 57
480000 1 57
481000 1 57
482000 1 57
483000 1 57
484000 1 57
485000 1 56.96
486000 1 56.95
487000 1 57
488000 1 57
489000 1 57
490000 1 57
491000 1 57
492000 1 57
493000 1 57
494000 1 57
495000 1 57
496000 1 57
497000 1 57
498000 1 57
499000 1 57
500000 1 57
501000 1 57
502000 1 57
503000 1 57
504000 1 57
505000 1 57
506000 1 57
507000 1 57
508000 1 57
509000 1 57
510000 1 57
511000 1 57
512000 1 57
513000 1 57
514000 1 57
515000 1 57
516000 1 57
517000 1 57
518000 1.07 57
519000 1 57
520000 1 57
521000 1 57
522000 1 57
523000 1 57
524000 1 57
525000 1 57
526000 1 57
527000 1 57
528000 1 57
529000 1 57
530000 1 57
531000 1 57
532000 1 57
533000 1 57
534000 1 57
535000 1 57
536000 1 57
537000 1 57
538000 1 57
539000 1 57
540000 1 57
541000 1 57
542000 1 57
543000 1 57
544000 1 57
545000 1 56.93
546000 1 57
547000 1 57
548000 1 57
549000 1 57
550000 1 57
551000 1 57.46
552000 1 58
553000 1 58
554000 1 58
555000 1 58
556000 1 58
557000 1 58
558000 1 58
559000 1 58
560000 1 58
561000 1 58
562000 1 58
563000 1 58
564000 1 58
565000 1 58
566000 1 58
567000 1 58
568000 1 58
569000 1 58
570000 1 58
571000 1 58
572000 1 58
573000 1 58
574000 1 58
575000 1 58
576000 1 58
577000 1 58
578000 1 58
579000 0.3 58
580000 0 58
581000 0 58
582000 0.11 58
583000 0 58
584000 0 58
585000 0 58
586000 0 58
587000 0 58
588000 0 58
589000 0 58
590000 0 58
591000 0 58
592000 0 58
593000 0 58
594000 0 58
595000 0 58
596000 0 58
597000 0 58
598000 0 58
599000 0 57.97
600000 0 58
601000 0 58
602000 0 58
603000 0 58
604000 0 58
605000 0 58
606000 0 58
607000 0 58
608000 0.03 58
609000 0 58
610000 0.11 58
611000 0 58
612000 0 57.97
613000 0 58
614000 0 58
615000 0 58
616000 0 58.15
617000 0 59
618000 0 59
619000 0 59
620000 0 59
621000 0 59
622000 0 59
623000 0 59
624000 0 59
625000 0 59
626000 0 59
627000 0 59
628000 0 59
629000 0 59
630000 0 59
631000 0 59
632000 0 59
633000 0 59
634000 0 59
635000 0 59
636000 0 59
637000 0 59.43
638000 0 60
639000 0 60
640000 0 60
641000 0 60
642000 0 60
643000 0 60
644000 0 60
645000 0 60
646000 0 60
647000 0.03 60
648000 0 60
649000 0 60
650000 0 60
651000 0 60
652000 0 60
653000 0 60
654000 0 60
655000 0 60
656000 0 60
657000 0 60
658000 0 60
659000 0 60
660000 0 60
661000 0 60
662000 0 60
663000 0 60
664000 0 60
665000 0 60
666000 0 60
667000 0 60
668000 0 60
669000 0 60
670000 0 60
671000 0 60
672000 0 60
673000 0 60
674000 0 60
675000 0 60
676000 0 60
677000 0 60
678000 0 60
679000 0 60
680000 0 60
681000 0 60
682000 0 60
683000 0 59.98
684000 0 60
685000 0 60
686000 0 60
687000 0 60
688000 0 60
689000 0 60
690000 0 60
691000 0 60
692000 0 60
693000 0 60
694000 0 60
695000 0 60
696000 0 60
697000 0 60
698000 0 60
699000 0.04 60
700000 0 60
701000 0 60
702000 0.01 60
703000 0 60
704000 0 60
705000 0 60
706000 0 60
707000 0 60
708000 0 60
709000 0 60
710000 0 60
711000 0 59.97
712000 0 60
713000 0 60
714000 0 60
715000 0 60
716000 0.03 60
