# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 50 60.00000000000001
  39 13.5 1.909 0.003818
  40 14.5 2.231 0.004462
  41 15.5 1.858 0.003716
  42 16.5 1.79 0.00358
  43 17.5 1.272 0.002544
  44 18.5 1.779 0.003558
  45 19.5 0.461 0.000922
  46 20.5 0.484 0.000968
  47 21.5 0.353 0.000706
  48 22.5 1.381 0.002762
  49 23.5 1.781 0.003562
  50 24.5 1.332 0.002664
50000 50 60.00000000000001
  1 -24.5 0.921 0.001842
  2 -23.5 0.916 0.001832
  3 -22.5 1.533 0.003066
  4 -21.5 1.958 0.003916
  5 -20.5 2.235 0.00447
  6 -19.5 1.704 0.003408
  7 -18.5 1.453 0.002906
  8 -17.5 0.974 0.001948
  9 -16.5 1.177 0.002354
  10 -15.5 1.625 0.00325
  11 -14.5 2.057 0.004114
  12 -13.5 1.081 0.002162
  13 -12.5 0.831 0.001662
  14 -11.5 1.095 0.00219
  15 -10.5 2.471 0.004942
  16 -9.5 2.683 0.005366
  17 -8.5 1.289 0.002578
  18 -7.5 0.162 0.000324
  19 -6.5 1.215 0.00243
  20 -5.5 1.347 0.002694
  21 -4.5 0.596 0.001192
  22 -3.5 0.684 0.001368
  23 -2.5 0.14 0.00028
  24 -1.5 0.013 2.6e-05
  25 -0.5 0 0
  26 0.5 0.144 0.000288
  27 1.5 0.661 0.001322
  28 2.5 0.195 0.00039
  29 3.5 0.003 6e-06
  30 4.5 0.348 0.000696
  31 5.5 0.848 0.001696
  32 6.5 0.687 0.001374
  33 7.5 1.094 0.002188
  34 8.5 1.216 0.002432
  35 9.5 1.151 0.002302
  36 10.5 2.443 0.004886
  37 11.5 2.124 0.004248
  38 12.5 2.458 0.004916
  39 13.5 1.94 0.00388
  40 14.5 2.038 0.004076
  41 15.5 2.345 0.00469
  42 16.5 1.612 0.003224
  43 17.5 1.78 0.00356
  44 18.5 0.521 0.001042
  45 19.5 0.07 0.00014
  46 20.5 1.385 0.00277
  47 21.5 1.456 0.002912
  48 22.5 1.2 0.0024
  49 23.5 1.374 0.002748
  50 24.5 0.747 0.001494
60000 50 60.00000000000001
  1 -24.5 0.702 0.001404
  2 -23.5 1.271 0.002542
  3 -22.5 1.575 0.00315
  4 -21.5 1.737 0.003474
  5 -20.5 1.079 0.002158
  6 -19.5 2.069 0.004138
  7 -18.5 2.412 0.004824
  8 -17.5 1.87 0.00374
  9 -16.5 1.036 0.002072
  10 -15.5 0.617 0.001234
  11 -14.5 1.281 0.002562
  12 -13.5 1.924 0.003848
  13 -12.5 1.569 0.003138
  14 -11.5 2.028 0.004056
  15 -10.5 1.474 0.002948
  16 -9.5 0.657 0.001314
  17 -8.5 1.773 0.003546
  18 -7.5 2.373 0.004746
  19 -6.5 1.798 0.003596
  20 -5.5 0.965 0.00193
  21 -4.5 0.332 0.000664
  22 -3.5 0.108 0.000216
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0 0
  26 0.5 0.23 0.00046
  27 1.5 0.634 0.001268
  28 2.5 0.136 0.000272
  29 3.5 0.164 0.000328
  30 4.5 0.173 0.000346
  31 5.5 1.149 0.002298
  32 6.5 1.15 0.0023
  33 7.5 1.127 0.002254
  34 8.5 1.686 0.003372
  35 9.5 1.789 0.003578
  36 10.5 1.838 0.003676
  37 11.5 2.209 0.004418
  38 12.5 1.225 0.00245
  39 13.5 1.468 0.002936
  40 14.5 2.113 0.004226
  41 15.5 2.159 0.004318
  42 16.5 1.425 0.00285
  43 17.5 1.202 0.002404
  44 18.5 0.781 0.001562
  45 19.5 0.371 0.000742
  46 20.5 1.17 0.00234
  47 21.5 1.886 0.003772
  48 22.5 1.331 0.002662
  49 23.5 1.511 0.003022
  50 24.5 0.423 0.000846
70000 50 60.00000000000001
  1 -24.5 0.489 0.000978
  2 -23.5 1.69 0.00338
  3 -22.5 2.164 0.004328
  4 -21.5 2.156 0.004312
  5 -20.5 0.791 0.001582
  6 -19.5 1.431 0.002862
  7 -18.5 2.215 0.00443
  8 -17.5 3.018 0.006036
  9 -16.5 1.533 0.003066
  10 -15.5 0.577 0.001154
  11 -14.5 1.385 0.00277
  12 -13.5 1.09 0.00218
  13 -12.5 1.931 0.003862
  14 -11.5 1.88 0.00376
  15 -10.5 1.708 0.003416
  16 -9.5 1.021 0.002042
  17 -8.5 0.659 0.001318
  18 -7.5 1.787 0.003574
  19 -6.5 2.214 0.004428
  20 -5.5 1.144 0.002288
  21 -4.5 0.117 0.000234
  22 -3.5 0 0
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0.024 4.8e-05
  26 0.5 0.261 0.000522
  27 1.5 0.495 0.00099
  28 2.5 0.212 0.000424
  29 3.5 0.008 1.6e-05
  30 4.5 0 0
  31 5.5 0.563 0.001126
  32 6.5 1.498 0.002996
  33 7.5 0.783 0.001566
  34 8.5 0.904 0.001808
  35 9.5 2.246 0.004492
  36 10.5 2.938 0.005876
  37 11.5 2.044 0.004088
  38 12.5 1.953 0.003906
  39 13.5 1.425 0.00285
  40 14.5 1.564 0.003128
  41 15.5 1.465 0.00293
  42 16.5 2.189 0.004378
  43 17.5 0.847 0.001694
  44 18.5 1.083 0.002166
  45 19.5 1.465 0.00293
  46 20.5 1.469 0.002938
  47 21.5 1.783 0.003566
  48 22.5 0.665 0.00133
  49 23.5 1.093 0.002186
  50 24.5 0.023 4.6e-05
80000 50 59.99999999999999
  1 -24.5 0.793 0.001586
  2 -23.5 1.111 0.002222
  3 -22.5 2.607 0.005214
  4 -21.5 0.845 0.00169
  5 -20.5 1.713 0.003426
  6 -19.5 1.701 0.003402
  7 -18.5 1.943 0.003886
  8 -17.5 2.004 0.004008
  9 -16.5 0.866 0.001732
  10 -15.5 1.082 0.002164
  11 -14.5 2.527 0.005054
  12 -13.5 1.938 0.003876
  13 -12.5 1.095 0.00219
  14 -11.5 1.636 0.003272
  15 -10.5 1.764 0.003528
  16 -9.5 0.547 0.001094
  17 -8.5 1.054 0.002108
  18 -7.5 1.784 0.003568
  19 -6.5 1.77 0.00354
  20 -5.5 1.174 0.002348
  21 -4.5 0.347 0.000694
  22 -3.5 0.033 6.6e-05
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0 0
  26 0.5 0.333 0.000666
  27 1.5 0.536 0.001072
  28 2.5 0.131 0.000262
  29 3.5 0 0
  30 4.5 0.023 4.6e-05
  31 5.5 0.606 0.001212
  32 6.5 0.961 0.001922
  33 7.5 1.259 0.002518
  34 8.5 1.503 0.003006
  35 9.5 1.654 0.003308
  36 10.5 1.936 0.003872
  37 11.5 2.681 0.005362
  38 12.5 1.896 0.003792
  39 13.5 0.967 0.001934
  40 14.5 1.498 0.002996
  41 15.5 2.592 0.005184
  42 16.5 2.047 0.004094
  43 17.5 0.735 0.00147
  44 18.5 1.329 0.002658
  45 19.5 1.624 0.003248
  46 20.5 0.891 0.001782
  47 21.5 0.56 0.00112
  48 22.5 1.399 0.002798
  49 23.5 1.233 0.002466
  50 24.5 1.272 0.002544
90000 50 59.999999999999986
  1 -24.5 1.549 0.003098
  2 -23.5 1.143 0.002286
  3 -22.5 0.714 0.001428
  4 -21.5 0.884 0.001768
  5 -20.5 2.023 0.004046
