# Time-averaged data for fix myat1
# TimeStep v_velx
35000 0.00583078
35100 0.00363237
35200 -0.00575177
35300 0.00140355
35400 0.00143411
35500 0.00828916
35600 0.00702915
35700 0.00534661
35800 0.013396
35900 -0.00198402
36000 0.00637518
36100 0.0105785
36200 0.00599342
36300 -0.00249399
36400 0.00179675
36500 0.00547376
36600 0.00157587
36700 0.00466786
36800 0.00958457
36900 0.000260915
37000 0.000418488
37100 0.00763646
37200 0.00526398
37300 0.00179321
37400 0.00388321
37500 0.0091746
37600 0.00553284
37700 0.00636562
37800 0.00484031
37900 0.00560662
38000 0.0109968
38100 0.000699835
38200 0.00884317
38300 0.00395352
38400 0.0028644
38500 0.00671744
38600 0.00876968
38700 -0.00417126
38800 -6.717e-05
38900 0.00246003
39000 0.00100209
39100 0.00293894
39200 0.00882042
39300 -0.000234572
39400 -0.0017955
39500 0.00656841
39600 0.00533676
39700 0.00785996
39800 -5.17198e-05
39900 0.00387929
40000 0.0109663
40100 -0.000181996
40200 -0.00463041
40300 0.00555356
40400 0.00449971
40500 0.00549859
40600 0.0123551
40700 0.0107351
40800 -0.00157886
40900 0.00584869
41000 0.00704508
41100 0.00629682
41200 0.00329418
41300 0.00298179
41400 0.00987456
41500 0.00492582
41600 0.000537317
41700 0.00233511
41800 0.0048142
41900 0.00444642
42000 0.00219746
42100 0.00808598
42200 0.00596247
42300 0.00560101
42400 0.00492813
42500 0.00904767
42600 0.00440197
42700 0.0032495
42800 0.0025412
42900 0.00373219
43000 0.0051124
43100 0.00216918
43200 0.00135648
43300 0.000317126
43400 0.00404862
43500 0.00153563
43600 0.00598206
43700 0.00415958
43800 0.00596202
43900 0.0143995
44000 0.000126015
44100 0.0078558
44200 0.00832294
44300 -0.00206323
44400 0.00124736
44500 -0.0003276
44600 -0.00193912
44700 0.00417441
44800 -0.000428779
44900 0.00439082
45000 0.000425769
45100 0.00866379
45200 0.0079133
45300 0.00563619
45400 0.00071271
45500 0.00304079
45600 0.000511149
45700 0.004503
45800 0.00536031
45900 0.00491202
46000 0.00754498
46100 -0.001057
46200 0.00522444
46300 0.00680374
46400 0.0104803
46500 0.00409126
46600 0.0118478
46700 0.014083
46800 -4.77762e-06
46900 0.00756288
47000 0.00457602
47100 0.00669498
47200 0.00331342
47300 0.0044066
47400 0.00643232
47500 0.00627141
47600 0.00261194
47700 0.00622151
47800 0.00982805
47900 0.00620979
48000 0.00853204
48100 0.000968095
48200 0.00176076
48300 0.0135509
48400 0.00506084
48500 0.00873481
48600 0.00577135
48700 0.00218589
48800 0.00462248
48900 0.00559819
49000 0.00974316
49100 -0.000449265
49200 0.00658731
49300 0.00632829
49400 0.00878773
49500 0.0019757
49600 0.0046261
49700 0.00359618
49800 0.00605355
49900 0.00536197
50000 0.000919773
50100 0.00566089
50200 0.00231831
50300 0.00340182
50400 -0.00590616
50500 0.000201744
50600 0.0076867
50700 0.012785
50800 0.00339259
50900 0.00243787
51000 0.00161019
51100 0.00739256
51200 0.00468809
51300 -0.00192126
51400 0.00835693
51500 0.00273109
51600 0.00218445
51700 0.00286708
51800 0.0021166
51900 0.00759321
52000 0.00580037
52100 0.00926986
52200 0.00752415
52300 -0.00283
52400 0.0153297
52500 0.00704578
52600 0.000578787
52700 0.00573651
52800 0.00616817
52900 0.00436731
53000 0.0015194
53100 0.0128524
53200 0.00810656
53300 0.00714656
53400 0.0110401
53500 0.00819767
53600 0.00827245
53700 0.00144672
53800 0.00537084
53900 -0.000534731
54000 0.000991272
54100 0.00841828
54200 -0.00484587
54300 0.00305936
54400 0.0140885
54500 0.00757995
54600 0.0118318
54700 -0.00036801
54800 0.0035331
54900 0.00838503
55000 0.00395627
55100 0.00412914
55200 0.00544527
55300 0.00296655
55400 0.00760668
55500 0.00529393
55600 0.000245168
55700 0.00752286
55800 0.00721155
55900 0.00629055
56000 -0.000140587
56100 0.00784753
56200 0.00495938
56300 0.00425388
56400 0.00556206
56500 -0.000417528
56600 0.0110672
56700 -0.000667354
56800 0.00773968
